taxa	region	state	host	date	year	PEAL
MF170973.1_3919_polyprotein_gene_complete_cds_3919_Brazil_ES_Domingos_Martins_Brazil_Human_2017-04-10	Southeast	ES	Human	10/04/2017	2017	Other
MF170974.1_2829_polyprotein_gene_complete_cds_2829_Brazil_ES_Cariacica_Brazil_Human_2017-03-29	Southeast	ES	Human	29/03/2017	2017	Other
MF170975.1_1555_polyprotein_gene_complete_cds_1555_Brazil_ES_Brejetuba_Brazil_Human_2017-03-03	Southeast	ES	Human	03/03/2017	2017	Other
MF170976.1_282_polyprotein_gene_complete_cds_282_Brazil_ES_Laranja_da_Terra_Brazil_Human_2017-01-25	Southeast	ES	Human	25/01/2017	2017	Other
MF170977.1_1122_polyprotein_gene_complete_cds_1122_Brazil_ES_Conceicao_do_Castelo_Brazil_Human_2017-02-10	Southeast	ES	Human	10/02/2017	2017	Other
MF170978.1_2841_polyprotein_gene_complete_cds_2841_Brazil_ES_Santa_Maria_de_Jetiba_Brazil_Human_2017-03-28	Southeast	ES	Human	28/03/2017	2017	Other
MF170979.1_3472_polyprotein_gene_complete_cds_3472_Brazil_ES_Santa_Maria_de_Jetiba_Brazil_Human_2017-04-06	Southeast	ES	Human	06/04/2017	2017	Other
MF170980.1_2563_polyprotein_gene_complete_cds_2563_Brazil_ES_Alfredo_Chaves_Brazil_Human_2017-03-23	Southeast	ES	Human	23/03/2017	2017	Other
MF170981.1_3495_polyprotein_gene_complete_cds_3495_Brazil_ES_Santa_Leopoldina_Brazil_Human_2017-04-05	Southeast	ES	Human	05/04/2017	2017	Other
MF185660.1_RJ-2906_Brazil_RJ_Sao_Sebastiao_do_Alto_Brazil_Platyrrhini_2017-01-25	Southeast	RJ	NHP	25/01/2017	2017	Other
MF370530.1_BeAr843721_Brazil_Brazil_Haemagogus_janthinomys_2017-01-15	Southeast	MG	Mosq	15/01/2017	2017	Other
MF370531.1_ESS1115-H844801_Brazil_Brazil_Human_2017-02-28	Southeast	ES	Human	28/02/2017	2017	Other
MF370532.1_MIG2482-H843297_Brazil_Brazil_Human_2017-01-10	Southeast	MG	Human	10/01/2017	2017	Other
MF370533.1_MIG2484-H843301_Brazil_Brazil_Human_2017-01-11	Southeast	MG	Human	11/01/2017	2017	Other
MF370534.1_PR5782-BeAn838691_Brazil_Brazil_Callithrix_penicillata_2016-04-05	Southeast	MG	NHP	05/04/2016	2016	Other
MF370535.1_PR5818-BeAn841176_Brazil_Brazil_Alouatta_sp._2016-08-30	Southeast	MG	NHP	30/08/2016	2016	Other
MF370536.1_PR5819-BeAn841178_Brazil_Brazil_Alouatta_sp._2016-09-02	Southeast	MG	NHP	02/09/2016	2016	Other
MF370537.1_PR5841-BeAn843345_Brazil_Brazil_Simiiformes_2017-01-17	Southeast	ES	NHP	17/01/2017	2017	Other
MF370538.1_PR5873-BeAn843840_Brazil_Brazil_Callithrix_penicillata_2017-01-20	Southeast	MG	NHP	20/01/2017	2017	Other
MF370540.1_PR5892-BeAn844358_Brazil_Brazil_Alouatta_seniculus_2017-02-25	North	RO	NHP	25/02/2017	2017	Other
MF370541.1_PR5908-BeAn844641_Brazil_Brazil_Alouatta_sp._2017-02-28	North	PA	NHP	28/02/2017	2017	Other
MF370543.1_PR5937-BeAn845130_Brazil_Brazil_Alouatta_sp._2017-03-03	CentreWest	MT	NHP	03/03/2017	2017	Other
MF370545.1_PR5952-BeAn845405_Brazil_Brazil_Aotus_azarai_2017-04-05	North	PA	NHP	05/04/2017	2017	Other
MF370546.1_PR5953-BeAn845409_Brazil_Brazil_Alouatta_caraya_2017-04-05	North	PA	NHP	05/04/2017	2017	Other
MF370547.1_RJPR2910_Brazil_Brazil_Alouatta_sp._2017-03-27	Southeast	RJ	NHP	27/03/2017	2017	Other
MF370548.1_RJPR4867_Brazil_Brazil_Alouatta_sp._2017-04-20	Southeast	RJ	NHP	20/04/2017	2017	Other
MF370549.1_BeAn820890_Brazil_Brazil_Simiiformes_2015-08-26	Southeast	MG	NHP	26/08/2015	2015	Other
MF423373.2_PA193_Brazil_Paraju_Domingos_Martins_-_ES_Brazil_Haemagogus_leucocelaenus_2017-02-21	Southeast	ES	Mosq	21/02/2017	2017	Other
MF423374.2_PA196_Brazil_Paraju_Domingos_Martins_-_ES_Brazil_Haemagogus_janthinomys_2017-02-23	Southeast	ES	Mosq	23/02/2017	2017	Other
MF423375.2_RJ87_Brazil_Macae_Atalaia_-_RJ_Brazil_Alouatta_guariba_clamitans_2017-04-04	Southeast	RJ	NHP	04/04/2017	2017	Other
MF423376.2_RJ94_Brazil_Macae_Sana_-_RJ_Brazil_Alouatta_guariba_clamitans_2017-04-13	Southeast	RJ	NHP	13/04/2017	2017	Other
MF423377.2_RJ95_Brazil_Carmo_-_RJ_Brazil_Alouatta_guariba_clamitans_2017-04-19	Southeast	RJ	NHP	19/04/2017	2017	Other
MF423378.2_RJ96_Brazil_Santa_Fe_Carmo_-_RJ_Brazil_Alouatta_guariba_clamitans_2017-04-19	Southeast	RJ	NHP	19/04/2017	2017	Other
MF434851.2_H199_Brazil_Casimiro_de_Abreu-RJ_Brazil_Human_2017-04-25	Southeast	RJ	Human	25/04/2017	2017	Other
MF465805.1_YFV112_Brazil_Brazil_Human_2017-01-17	Southeast	SP	Human	17/01/2017	2017	Other
MF538782.2_H190_Brazil_Sao_Fidelis-RJ_Brazil_Human_2017-03-16	Southeast	RJ	Human	16/03/2017	2017	Other
MF538783.2_H191_Brazil_Casimiro_de_Abreu-RJ_Brazil_Human_2017-03-18	Southeast	RJ	Human	18/03/2017	2017	Other
MF538784.2_H196_Brazil_Porciuncula-RJ_Brazil_Human_2017-02-26	Southeast	RJ	Human	26/02/2017	2017	Other
MF538785.2_RJ97_Brazil_Araras_Petropolis_-_RJ_Brazil_marmosets_2017-04-21	Southeast	RJ	NHP	21/04/2017	2017	Other
MF538786.2_RJ104_Brazil_Guapimirim_-_RJ_Brazil_marmosets_2017-06-05	Southeast	RJ	NHP	05/06/2017	2017	Other
MG550109.2_H189_partial_genome_Brazil:Bananal_Marica_-_RJ_Brazil_Human_2017-04-18	Southeast	RJ	Human	18/04/2017	2017	Other
MH018064.1_YFV/Monkey/Brazil/2017/M5_Brazil_Minas_Gerais_Santa_Rita_de_Caldas_Brazil_Alouatta_sp._2017-02-15	Southeast	MG	NHP	15/02/2017	2017	Other
MH018065.1_YFV/Monkey/Brazil/2017/M7_Brazil_Minas_Gerais_Delfinopolis_Brazil_Cebidae_2017-02-14	Southeast	MG	NHP	14/02/2017	2017	Other
MH018066.1_YFV/Monkey/Brazil/2017/M9_Brazil_Minas_Gerais_Ouro_Fino_Brazil_Alouatta_sp._2017-02-15	Southeast	MG	NHP	15/02/2017	2017	Other
MH018067.1_YFV/Monkey/Brazil/2017/M11_Brazil_Minas_Gerais_Caldas_Brazil_Cebidae_2017-02-13	Southeast	MG	NHP	13/02/2017	2017	Other
MH018068.1_YFV/Human/Brazil/2017/M16_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M16_Brazil_Minas_Gerais_Caratinga_Brazil_Human_2017-01-09	Southeast	MG	Human	09/01/2017	2017	Other
MH018069.1_YFV/Human/Brazil/2017/M17_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M17_Brazil_Minas_Gerais_Ladainha_Brazil_Human_2017-01-14	Southeast	MG	Human	14/01/2017	2017	Other
