taxa	region	state	host	date	year	PEAL
MH018070.1_YFV/Human/Brazil/2017/M18_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M18_Brazil_Minas_Gerais_Itambacuri_Brazil_Human_2017-01-21	Southeast	MG	Human	21/01/2017	2017	Other
MH018071.1_YFV/Human/Brazil/2017/M25_polyprotein-like_gene_partial_sequence_YFV/Human/Brazil/2017/M25_Brazil_Minas_Gerais_Novo_Cruzeiro_Brazil_Human_2017-01-25	Southeast	MG	Human	25/01/2017	2017	Other
MH018072.1_YFV/Human/Brazil/2017/M26_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M26_Brazil_Minas_Gerais_Itambacuri_Brazil_Human_2017-01-07	Southeast	MG	Human	07/01/2017	2017	Other
MH018073.1_YFV/Human/Brazil/2017/M35_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M35_Brazil_Minas_Gerais_Teofilo_Otoni_Brazil_Human_2017-01-20	Southeast	MG	Human	20/01/2017	2017	Other
MH018074.1_YFV/Human/Brazil/2017/M36_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M36_Brazil_Minas_Gerais_Novo_Cruzeiro_Brazil_Human_2017-01-14	Southeast	MG	Human	14/01/2017	2017	Other
MH018075.1_YFV/Human/Brazil/2017/M43_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M43_Brazil_Minas_Gerais_Pote_Brazil_Human_2017-01-18	Southeast	MG	Human	18/01/2017	2017	Other
MH018076.1_YFV/Human/Brazil/2017/M47_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M47_Brazil_Minas_Gerais_Setubinha_Brazil_Human_2017-01-19	Southeast	MG	Human	19/01/2017	2017	Other
MH018077.1_YFV/Human/Brazil/2017/M48_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M48_Brazil_Minas_Gerais_Ladainha_Brazil_Human_2017-01-07	Southeast	MG	Human	07/01/2017	2017	Other
MH018078.1_YFV/Human/Brazil/2017/M51_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M51_Brazil_Minas_Gerais_Novo_Cruzeiro_Brazil_Human_2017-01-18	Southeast	MG	Human	18/01/2017	2017	Other
MH018079.1_YFV/Human/Brazil/2017/M58_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M58_Brazil_Minas_Gerais_Itambacuri_Brazil_Human_2017-01-28	Southeast	MG	Human	28/01/2017	2017	Other
MH018080.1_YFV/Human/Brazil/2017/M68_polyprotein_gene_partial_cds_YFV/Human/Brazil/2017/M68_Brazil_Minas_Gerais_Ladainha_Brazil_Human_2017-01-28	Southeast	MG	Human	28/01/2017	2017	Other
MH018081.1_YFV/Monkey/Brazil/2017/M73_Brazil_Minas_Gerais_Aguanil_Brazil_Cebidae_2017-02-22	Southeast	MG	NHP	22/02/2017	2017	Other
MH018082.1_YFV/Monkey/Brazil/2017/M78_Brazil_Minas_Gerais_Claraval_Brazil_Callithrix_sp._2017-02-20	Southeast	MG	NHP	20/02/2017	2017	Other
MH018083.1_YFV/Monkey/Brazil/2017/M79_Brazil_Minas_Gerais_Abre_Campo_Brazil_Alouatta_sp._2017-02-17	Southeast	MG	NHP	17/02/2017	2017	Other
